distribution,rss,aicc,chisq_stand,chisq_hps,a,beta,s,p
weibull,22029.391215084957,75.36553010701073,24.893768591726797,1.2446884295863399,1.7032099499192173,42.68159429310995,59457.775863175324,
gamma,19749.56202467215,74.49156041950059,22.25408174351364,1.1127040871756826,,15.535343492036668,58396.63266805388,2.7040655499433637
