dbh_cm,tally
9.5,2
10.5,7
11.5,3
12.5,5
13.5,6
14.5,7
15.5,5
16.5,6
17.5,6
18.5,7
19.5,7
20.5,8
21.5,2
22.5,8
23.5,5
24.5,8
25.5,3
26.5,2
27.5,5
28.5,3
29.5,7
30.5,2
31.5,2
32.5,4
33.5,1
35.5,2
36.5,2
38.5,2
46.5,1
