dbh_cm,tally
9.5,5
10.5,10
11.5,3
12.5,8
13.5,4
14.5,5
15.5,5
16.5,7
17.5,2
18.5,1
19.5,3
20.5,1
21.5,2
22.5,4
23.5,2
24.5,2
25.5,3
27.5,2
30.5,1
33.5,1
34.5,3
36.5,1
37.5,1
38.5,1
40.5,1
