dbh_cm,tally
2.5,1
13.5,4
15.5,1
16.5,2
17.5,6
18.5,3
19.5,5
20.5,3
21.5,3
22.5,4
23.5,6
24.5,3
25.5,5
26.5,2
27.5,5
28.5,2
29.5,2
30.5,1
31.5,4
32.5,3
33.5,3
34.5,4
35.5,2
36.5,4
37.5,4
38.5,3
39.5,1
40.5,2
41.5,4
42.5,4
43.5,1
46.5,2
48.5,1
60.5,1
66.5,1
