dbh_cm,tally
12.5,1
13.5,1
14.5,1
16.5,1
19.5,2
20.5,4
21.5,2
22.5,2
23.5,1
24.5,2
25.5,3
27.5,5
28.5,1
29.5,1
30.5,3
31.5,2
32.5,2
33.5,1
34.5,3
35.5,6
37.5,1
38.5,3
40.5,4
41.5,2
42.5,2
43.5,1
44.5,2
45.5,3
46.5,1
49.5,1
51.5,1
55.5,1
57.5,1
59.5,2
60.5,2
75.5,1
