dbh_cm,tally
3.5,1
10.5,1
13.5,4
14.5,4
15.5,2
16.5,4
17.5,4
18.5,3
19.5,1
20.5,3
21.5,2
22.5,4
23.5,3
24.5,2
25.5,4
26.5,1
27.5,2
28.5,2
29.5,1
31.5,1
32.5,2
33.5,3
34.5,3
35.5,1
36.5,2
37.5,1
39.5,2
40.5,1
41.5,3
42.5,2
44.5,1
46.5,1
47.5,1
48.5,1
50.5,1
51.5,2
54.5,1
57.5,1
59.5,1
67.5,1
70.5,1
79.5,1
81.5,1
